,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
2269,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Kim A.,1,432,6.0,4.0,6.0,2.0,6.0,0.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,El Aynaoui Y.,33,22,6.0,3.0,6.0,4.0,3.0,6.0,2.0,6.0,6.0,3.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Hantschk M.,41,92,6.0,3.0,6.0,0.0,4.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Kuerten G.,102,2,4.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Ulihrach B.,53,82,2.0,6.0,7.0,6.0,7.0,6.0,6.0,1.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Black B.,Dent T.,29,196,7.0,6.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Blanco G.,Rafter P.,114,20,7.0,6.0,2.0,6.0,6.0,3.0,1.0,6.0,7.0,6.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Huet S.,101,98,7.0,6.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Calleri A.,Sanguinetti D.,72,99,7.0,5.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Levy H.,25,68,6.0,2.0,3.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Gaudio G.,37,26,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Srichaphan P.,8,85,7.0,6.0,6.0,0.0,6.0,0.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Roddick A.,24,338,6.0,3.0,6.0,7.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,di Pasquale A.,Kauffmann C.,63,311,6.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Dosedel S.,Clavet F.,50,46,7.0,6.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Enqvist T.,Puerta M.,5,18,3.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Wessels P.,40,89,4.0,6.0,4.0,6.0,6.0,3.0,7.0,5.0,3.0,4.0,2.0,2.0,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Ilie A.,21,51,6.0,3.0,2.0,6.0,6.0,4.0,6.0,1.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Meligeni F.,12,122,6.0,3.0,6.0,4.0,3.0,6.0,7.0,5.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Fromberg R.,Bastl G.,84,74,4.0,6.0,6.0,4.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Fish M.,27,348,5.0,7.0,5.0,7.0,6.0,4.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Gimelstob J.,Rochus C.,88,80,3.0,6.0,6.0,3.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Golmard J.,Black W.,48,118,6.0,2.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Mamiit C.,128,115,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Kim K.,28,157,6.0,3.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Gumy H.,Russell M.,96,181,4.0,6.0,7.0,6.0,7.0,6.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Delgado J.,38,216,6.0,3.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Vicente F.,11,44,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Vinciguerra A.,9,43,2.0,6.0,7.0,5.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Ivanisevic G.,36,77,3.0,6.0,6.0,0.0,6.0,1.0,6.0,0.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Ljubicic I.,91,87,7.0,6.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Stanoytchev O.,6,116,6.0,7.0,1.0,6.0,6.0,3.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Gaudenzi A.,14,103,7.0,5.0,6.0,4.0,0.0,6.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Knippschild J.,Cowan B.,126,174,6.0,4.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Chela J.I.,45,56,4.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek R.,Rochus O.,23,110,6.0,7.0,6.0,1.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,52,New York,US Open,28/08/2000,Grand Slam,Outdoor,Hard,1st Round,5,Kralert P.,Sanchez D.,212,93,7.0,6.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
